Nama,Singkatan
Sekolah Tinggi Ilmu Ekonomi IBMI Medan,
Sekolah Tinggi Ilmu Kesehatan Murni Teguh,
Sekolah Tinggi Ilmu Kesehatan Nurliana Medan,
Sekolah Tinggi Ilmu Kesehatan Senior Medan,
Sekolah Tinggi Ilmu Kesehatan Widya Husada Medan,
STKIP Pangeran Antasari,
STKIP Riama,
STMIK Budi Darma,
STMIK IBBI,
STMIK ITMI Medan,
STMIK Kristen Neumann Indonesia,
STMIK Potensi Utama,
STMIK Triguna Dharma,
Sekolah Tinggi Teologi  Anugerah Sinagoge Medan,
Sekolah Tinggi Teologi  Injili Indonesia Medan,
Sekolah Tinggi Teologi  Sola Fide,
UCSI University,
Universitas Alwashliyah,
Universitas Audi Indonesia,
Universitas Budi Darma,
Universitas Deli Sumatera,
Universitas Dian Nusantara,
Universitas HKBP Nommensen,
Universitas IBBI,
Universitas Imelda Medan,
Universitas Islam Negeri Sumatera Utara Medan,
Universitas Islam Sumatera Utara,
Universitas Mahkota Tricom Unggul,
Universitas Mikroskil,
Universitas Negeri Medan,
Universitas Pelita Harapan Medan,
Universitas Preston Indonesia,
Universitas Sisingamangaraja XII,
Universitas Sumatera Utara,
Universitas Sutomo,
Akademi Kebidanan Mitra Husada Medan,
Akademi Pariwisata Medan Hotel School,
Akademi Teknik Indonesia Cut Meutia,
Sekolah Tinggi Ilmu Kesehatan Mitra Husada Medan,
Akademi Akuntansi YPK Medan,
Akademi Farmasi Indah Deli Serdang,
Akademi Keperawatan Indah,
ATRO Yayasan Amal Bhakti Medan,
Sekolah Tinggi Ilmu Tarbiyah Indah Medan,
Universitas Muslim Nusantara Al-Washliyah,
Sekolah Tinggi Ilmu Manajemen Medan,
Akademi Sekretari Manajemen Cendana,
Politeknik Ganesha Medan,
Sekolah Tinggi Ilmu Ekonomi Mikroskil,
STMIK Mikroskil,
Akademi Bank dan Keuangan Swadaya,
Akademi Kebidanan Indah,
AMIK Harapan Medan,
Sekolah Tinggi Bahasa Asing Harapan,
Sekolah Tinggi Ekonomi Teladan,
Sekolah Tinggi Ilmu Ekonomi Harapan,
Sekolah Tinggi Ilmu Hukum Asy-Syafi iyah Medan,
Sekolah Tinggi Ilmu Hukum Indonesia Medan,
Sekolah Tinggi Ilmu Manajemen Sukma,
Sekolah Tinggi Teknik Harapan,
STKIP Asy-Syafi iyah Internasional Medan,
STKIP Teladan Medan,
Universitas Harapan Medan,
Universitas Pembinaan Masyarakat Indonesia,
Akademi Keuangan Dan Perbankan ICM Cantrika Mitra,
Akademi Manajemen Informatika Dan Komputer Logika,
Sekolah Tinggi Teologi Misi William Carey,
STMIK Sisingamangaraja XII,
Universitas Methodist Indonesia,
Universitas Setia Budi Mandiri,
Akademi Keperawatan Columbia Asia,
Politeknik Negeri Medan,
Politeknik Unggul LP3M,
Sekolah Tinggi Ilmu Hukum Deli Sumatera,
Sekolah Tinggi Teologi Sumatera Medan,
Sekolah Tinggi Teologi Sumatera Utara,
Sekolah Tinggi Ilmu Kesehatan Siti Hajar,
STMIK Pelita Nusantara,
Universitas Al-Azhar,
Akademi Kebidanan Budi Mulia,
Akademi Kebidanan Dewi Maya,
Akademi Pendidikan Kesehatan Talitakum,
Politeknik Mandiri Bina Prestasi,
Sekolah Tinggi Ilmu Ekonomi Indonesia Medan,
Universitas Katolik Santo Thomas,
Universitas Quality,
Akademi Kebidanan Flora,
Akademi Keperawatan Flora,
Akademi Keperawatan Helvetia Medan,
Akademi Keperawatan Malahayati Medan,
Sekolah Tinggi Ilmu Ekonomi Deli Sumatera,
Universitas Pembangunan Panca Budi,
Universitas Tjut Nyak Dhien,
Akademi Analis Farmasi dan Makanan Sari Mutiara ,
Akademi Analis Kesehatan Sari Mutiara,
Akademi Kebidanan Sari Mutiara,
Akademi Kebidanan YYS Pendidikan Dr Rusdi Medan,
Akademi Keperawatan Sari Mutiara Medan,
Akademi Refraksi Optisi Binalita Sudama,
Akademi Teknik Elektro Medik Binalita Sudama,
Politeknik Profesional Mandiri,
Politeknik Santo Thomas,
Sekolah Tinggi Ilmu Kesehatan Mutiara Indonesia,
Sekolah Tinggi Teologi Sola Gratia Medan,
Universitas Sari Mutiara Indonesia,
Universitas Tri Karya,
Akademi Kebidanan Hisarma Medan,
Akademi Keperawatan RSU Herna,
Akademi Pariwisata Dan Perhotelan Darma Agung,
Akademi Teknologi Industri Immanuel,
Politeknik Trijaya Krama,
Universitas Darma Agung,
Universitas Prima Indonesia,
Akademi Maritim Indonesia Medan,
Institut Teknologi dan Bisnis Sumatera Utara,
Politeknik Adiguna Maritim Indonesia Medan,
Politeknik Kesehatan YRSU Dr Rusdi,
Sekolah Tinggi Manajemen Informatika dan Komputer Logika,
Universitas Battuta,
Universitas Dharmawangsa,
Akademi Kebidanan Imelda,
Akademi Keperawatan Imelda Medan,
Akademi Manajemen Informatika dan Komputer Imelda,
Akademi Perekam Medik Dan Infokes Imelda,
Institut Bisnis Informasi Teknologi dan Bisnis,
Politeknik IT&B Medan,
Sekolah Tinggi Ilmu Kesehatan Imelda,
Sekolah Tinggi Ilmu Ekonomi Informasi Teknologi Dan Bisnis,
Universitas Muhammadiyah Sumatera Utara,
Akademi Kebidanan Cipto Medan,
Akademi Kebidanan Hafsyah Medan,
Akademi Kebidanan Widya Husada,
Sekolah Tinggi Ilmu Ekonomi Al-Hikmah,
Sekolah Tinggi Ilmu Hukum Al-hikmah,
"STAI Al-Hikmah Medan, Sumatera Utara",
Akademi Informatika Dan Komputer Medicom,
Universitas Potensi Utama,
Akademi Kebidanan Bina Sejahtera Ameta,
Sekolah Tinggi Ilmu Ekonomi Tricom,
Akademi kebidanan Kholisatur Rahmi Binjai,
Akademi Keperawatan Kesdam I/Bukit Barisan Binjai,
Akademi Keperawatan Sehat Binjai,
STIT Al-Washliyah Binjai,
STMIK Kaputama,
STMIK Methodist Binjai,
Akademi Kebidanan Eunice Rajawali Binjai,
Akademi Kebidanan Kharisma Husada Binjai,
"STAI Syekh H. Abdul Halim Hasan Al-Islahiyah Binjai, Sumatera Utara",
Sekolah Tinggi Ilmu Ekonomi Pelita Bangsa,
Sekolah Tinggi Teknik Pelita Bangsa,
STKIP Budidaya,
STKIP Pelita Bangsa,
Akademi Kebidanan Bina Husada Tebing Tinggi,
Akademi Kebidanan Pemkot Tebing Tinggi,
Akademi Keperawatan Bina Husada Tebing Tinggi,
Politeknik Tugu 45 Medan,
Sekolah Tinggi Ilmu Ekonomi Bina Karya,
"STAI Tebing Tinggi Deli, Sumatera Utara",
STIT Al-Hikmah Tebing Tinggi Sumatera Utara,
Sekolah Tinggi Ilmu Kesehatan Adiwangsa Tebing Tinggi,
Akademi Kebidanan Henderson,
Akademi Keperawatan Bas Balimbingan Pematang Siantar,
Akademi Keperawatan Kesdam I/Bukit Barisan Pematang Siantar,
Akademi Keperawatan Surya Nusantara,
Akademi Sekretari Manajemen Maria Goreti,
AMIK Parbina Nusantara,
AMIK Tunas Bangsa,
Politeknik Bisnis Indonesia,
Sekolah Tinggi Filsafat Theologia Surya Nusantara,
Sekolah Tinggi Hukum YNI,
Sekolah Tinggi Ilmu Ekonomi Sultan Agung,
Sekolah Tinggi Teologi Bina Insani Indonesia Kasih Abadi Pematang Siantar,
Sekolah Tinggi Teologi Gereja Pentakosta Di Indonesia Pematang Siantar,
STIKOM Tunas Bangsa,
Politeknik Gihon,
Akademi Kebidanan Agatha,
Sekolah Tinggi Akuntansi dan Manajemen Indonesia,
Sekolah Tinggi Ilmu Ekonomi Surya Nusantara,
Sekolah Tinggi Ilmu Ekonomi Mars,
Sekolah Tinggi Teologi HKBP,
Universitas HKBP Nommensen Pematangsiantar,
Akademi Keperawatan Abdi Florensia,
Akademi Manajemen Informatika & Komputer Multicom,
Universitas Simalungun,
Akper Pemkot Tanjung Balai,
Sekolah Tinggi Teologi Marturia Tanjung Balai,
"STAI Al-Hikmah, Tanjung Balai, Sumatera Utara",
Politeknik Tanjungbalai,
Sekolah Tinggi Agama Islam Nurul Ilmi Tanjungbalai,
Sekolah Tinggi Ilmu Kesehatan Sakinah Husada Tanjung Balai,
Sekolah Tinggi Ilmu Ekonomi Al-Washliyah,
Sekolah Tinggi Perikanan Sibolga,
"STIT Muhammadiyah Sibolga, Tapanuli Tengah, Sumatera Utara",
Akademi Kebidanan Nauli Husada,
Akademi Keperawatan Nauli Husada,
Sekolah Tinggi Ilmu Kesehatan Nauli Husada,
Akademi Kebidanan Mitra Syuhada Padangsidimpuan,
Akademi Kebidanan Sentral Padang Sidempuan,
Akademi Keperawatan Syuhada Padangsidempuan,
Institut Agama Islam Negeri Padangsidimpuan,
Institut Teknologi dan Kesehatan Sumatera Utara,
Sekolah Tinggi Ilmu Ekonomi Y P Kampus,
Sekolah Tinggi Ilmu Hukum Benteng Huraba,
Sekolah Tinggi Pertanian Benteng Huraba,
STAIN Padangsidempuan,
Sekolah Tinggi Ilmu Kesehatan Aufa Royhan,
Sekolah Tinggi Ilmu Kesehatan Syuhada di Padangsidimpuan,
STMIK Citra Mandiri Padangsidimpuan,
Institut Pendidikan Tapanuli Selatan,
"STAI PERTINU Padangsidimpuan, Sumatera Utara",
STKIP Tapanuli Selatan,
Universitas Graha Nusantara,
Universitas Muhammadiyah Tapanuli Selatan,
Universitas Aufa Royhan,
Akademi Kebidanan Darmais Padangsidimpuan,
Akademi Kebidanan Matorkis,
Sekolah Tinggi Ilmu Kesehatan Darmais Padangsidimpuan,
Akademi Kebidanan Harapan Keluarga,
Sekolah Tinggi Agama Kristen Emmanuel Agung Nias,
Sekolah Tinggi Teologi Nias,
Sekolah Tinggi Teologi Syalom Nias,
STAI Nias,
STP Dian Mandala Gunung Sitoli Nias Keuskupan Sibolga,
Universitas Nias,
Sekolah Tinggi Ilmu Ekonomi Pembangunan Nasional,
Sekolah Tinggi Ilmu Kesehatan Ceria Buana,
Sekolah Tinggi Ilmu Hukum Lubuk Sikaping,
"STAI YDI Lubuk Sikaping, Pasaman, Sumatera Barat",
Politeknik Pertanian Negeri Payakumbuh,
Sekolah Tinggi Ilmu Ekonomi El Hakim,
Sekolah Tinggi Ilmu Manajemen Sumbar,
Universitas Mahaputra Muhammad Yamin,
Universitas Islam Sumatera Barat,
Akademi Manajemen El-hakim,
Akademi Kebidanan Putri Bangsa Pariaman,
Akademi Kebidanan Sumatera Barat,
Politeknik Pelayaran Sumatera Barat,
Sekolah Tinggi Ilmu Kesehatan Sumatera Barat,
Sekolah Tinggi Ilmu Kesehatan Nan Tongga,
STKIP Nasional,
Universitas Sumatera Barat,
Akademi Keperawatan Nan Tongga,
STKIP YDB Lubuk Alung,
"STAI Balaiselasa YPPTI Pesisir Selatan, Sumatera Barat",
"Sekolah Tinggi Agama Islam Madrasah `Arabiyah  Bayang, Pesisir Selatan, Sumatera Barat",
"Sekolah Tinggi Agama Islam YPI Al-Ikhlas Painan, Pesisir Selatan, Sumatera Barat",
STKIP Pesisir Selatan,
Sekolah Tinggi Agama Islam YPPTIPS Balaiselasa,
Sekolah Tinggi Ilmu Hukum Painan,
Akademi Keperawatan Purna Bhakti Husada,
Institut Agama Islam Negeri Batusangkar,
Sekolah Tinggi Ekonomi Syariah Manna Wa Salwa Tanah Datar Sumatera Barat,
Sekolah Tinggi Ilmu Administrasi Pagaruyung,
"Sekolah Tinggi Agama Islam Al-Hikmah Pariangan Batusangkar, Tanah Datar",
STAIN Batusangkar,
Sekolah Tinggi Ilmu Kesehatan Purna Bhakti Husada Batusangkar,
Sekolah Tinggi Ilmu Ekonomi Pagaruyung,
STIPER Sawahlunto Sijunjung,
"STIT YPI Al-Yaqin Muaro Sijunjung, Sawahlunto",
Sekolah Tinggi Teologi  Kasih Mentawai,
Sekolah Tinggi Ilmu Ekonomi Widyaswara Indonesia,
STKIP Widyaswara Indonesia,
Sekolah Tinggi Ilmu Kesehatan Dharmasraya,
STITNU Sakinah Dharmasraya,
STKIP Dharmasraya,
STMIK Dharmasraya,
Universitas Dharmas Indonesia,
Akademi Kebidanan Pasaman Barat,
Sekolah Tinggi Ilmu Ekonomi Pasaman,
"STAI Umar Bin Khattab di Ujunggading, Pasaman Barat, Sumatera Barat",
STAI YAPTIP Simpang Empat Pasaman Barat,
Akademi Akuntansi Boekittinggi,
Akademi Farmasi Dwi Farma,
Akademi Farmasi Imam Bonjol,
Akademi Kebidanan Pelita Andalas,
Akademi Kebidanan Prima Nusantara,
Akademi Kesehatan Fisioterapi,
AMIK Bukittinggi,
IAIN Bukittinggi,
Institut Kesehatan Prima Nusantara Bukittinggi,
Institut Teknologi dan Bisnis Haji Agus Salim Bukittinggi,
Sekolah Tinggi Ilmu Ekonomi Haji Agus Salim,
Sekolah Tinggi Pertanian Haji Agus Salim,
STAIN Sjech M. Djamil Djambek Bukittinggi,
STBA Haji Agus Salim,
Sekolah Tinggi Ilmu Kesehatan Yarsi Sumatera Barat,
STISIP Pancasakti,
STIT Ahlussunnah Bukittinggi,
Universitas Mohammad Natsir Bukittinggi,
Akademi Bahasa Asing H Agus Salim Bukittinggi,
Akademi Pariwisata Paramitha Bukittinggi,
Sekolah Tinggi Ilmu Kesehatan Fort De Kock,
Sekolah Tinggi Ilmu Kesehatan Prima Nusantara,
Universitas Fort De Kock,
STKIP Ahlussunnah,
Akademi Bahasa Asing Alaska Padang,
Akademi Ilmu Komunikasi Padang,
Akademi Kebidanan Alifah Padang,
Akademi Kebidanan Mitra Husada Padang,
Akademi Kebidanan Puteri Andalas,
Akademi Keperawatan Aisyiyah Padang,
Akademi Keperawatan Kesdam I/Bukit Barisan Padang,
Akademi Keuangan Dan Perbankan Padang,
Akademi Koperasi Sumbar,
Akademi Manajemen Informatika & Komputer Jaya Nusa,
Akademi Pariwisata Bunda Padang,
Akademi Pembangunan Pertanian Lubuk Alung,
Akademi Refraksi Optisi YLPTK,
Akademi Teknik Gigi YLPTK Padang,
Akademi Teknik Taman Siswa,
Akademi Teknologi Industri Padang,
Akademi Teknologi Pratama,
AMIK Datuk Parpatiah Nan Sabatang,
IAIN Imam Bonjol Padang,
Institut Sains Dan Teknologi Pembangunan Nusantara,
Institut Teknologi Padang,
Politeknik 'Aisyiyah Sumatera Barat,
Politeknik ATI Padang,
Politeknik Negeri Padang,
Politeknik Tri Dharma,
Sekolah Tinggi Farmasi Indonesia Perintis Padang,
Sekolah Tinggi Ilmu Administrasi Lppn,
Sekolah Tinggi Ilmu Ekonomi Dharma Andalas,
Sekolah Tinggi Ilmu Ekonomi KBP,
Sekolah Tinggi Ilmu Ekonomi Perbankan Indonesia,
Sekolah Tinggi Ilmu Ekonomi Perdagangan,
Sekolah Tinggi Ilmu Farmasi Padang,
Sekolah Tinggi Ilmu Hukum Padang,
Sekolah Tinggi Ilmu Kesehatan Alifah Padang,
Sekolah Tinggi Ilmu Kesehatan YPAK Padang,
"STAI Pengembangan Ilmu Al-Qur`an , Kota Padang, Sumatera Barat",
"Sekolah Tinggi Agama Islam Yayasan Kebangkitan Islam Sumatera Barat, Padang",
Sekolah Tinggi Agama Islam Yayasan Tarbiyah Islamiyah Lubuk Bagalung Padang,
Sekolah Tinggi Ilmu Kesehatan Perintis Padang,
Sekolah Tinggi Ilmu Kesehatan Ranah Minang,
STISIP Imam Bonjol,
STISIP Padang,
STKIP PGRI Sumatera Barat,
STMIK Jaya Nusa,
Universitas Adzkia,
Universitas Baiturrahmah,
Universitas Bung Hatta,
Universitas Ekasakti,
Universitas Negeri Padang,
Universitas Perintis Indonesia,
Universitas PGRI Sumatera Barat,
Universitas Putra Indonesia Yptk Padang,
Akademi Farmasi Prayoga Padang,
Akademi Farmasi Ranah Minang,
Akademi Kebidanan Ranah Minang,
Sekolah Tinggi Ilmu Administrasi Adabiah,
Universitas Dharma Andalas,
Akademi Akuntansi Indonesia Padang,
Akademi Kebidanan Dharma Landbouw,
Akademi Sekretari Dan Manajemen Indonesia Padang,
Sekolah Tinggi Bahasa Asing Prayoga,
Sekolah Tinggi Ilmu Kesehatan Lenggogeni Padang,
STIT Adzkia Padang,
Sekolah Tinggi Ilmu Kesehatan Indonesia,
Sekolah Tinggi Ilmu Kesehatan Dharma Landbouw,
STMIK Indonesia Padang,
Universitas Nahdlatul Ulama Sumatera Barat,
Universitas Tamansiswa,
Apikes Iris,
Politeknik Kesehatan Siteba,
Poltekkes Kemenkes Padang,
Sekolah Tinggi Ilmu Kesehatan Mercubaktijaya Padang,
STKIP Adzkia,
Universitas Islam Negeri Imam Bonjol Padang,
Universitas Andalas,UNAND
Akademi Keperawatan Baiturrahmah,
Akademi Maritim Sapta Samudra,
Sekolah Tinggi Ekonomi Islam Ar-Risalah Sumatera Barat,
Sekolah Tinggi Ilmu Kesehatan Syedza Saintika,
Sekolah Tinggi Teknologi Industri Padang,
Universitas Muhammadiyah Sumatera Barat,
Akademi Kebidanan Imam Bonjol,
Akademi Keperawatan Nabila,
Institut Seni Indonesia Padang Panjang,
Sekolah Tinggi Seni Indonesia Padang Panjang,
"STAI YPK Imam Bonjol Padang Panjang, Sumatera Barat",
STIT Diniyyah Puteri Rahmah El-Yunusiyyah Kota Padang Panjang,
Akademi Keperawatan YPTK Solok,
Akademi Manajemen Informatika Dan Komputer Kosgoro,
"STAI Solok Nan Indah, Kota Padang",
Akademi Kebidanan Widya Husada,
STIH Putri Maharaja,
STIT YPI Payakumbuh,
STKIP Yayasan Abdi Pendidikan,
Sekolah Tinggi Teknologi Payakumbuh,
STAI Darul Qur`an Payakumbuh,
Akademi Kebidanan Bina Nusantara Mandiri,
Akademi Keperawatan Pemkab Padang Pariaman,
Institut Agama Islam Sumbar,
STIA Bina Nusantara Mandiri Pariaman,
STIT Syekh Burhanuddin Pariaman,
Akademi Perpajakan YPKM,
Sekolah Tinggi Ilmu Kesehatan Piala Sakti Pariaman,
Sekolah Tinggi Ilmu Ekonomi Sumbar,
Akademi Akuntansi Mahaputra Riau,
Akademi Kebidanan Dayang Suri,
Akademi Kebidanan Pasir Pengaraian,
Politeknik Bengkalis,
Politeknik Pasir Pengaraian,
STAI Kuansing,
STKIP Pahlawan Tuanku Tambusai,
Akademi Kebidanan Tuanku Tambusai,
Politeknik Kampar,
Sekolah Tinggi Ilmu Ekonomi Bangkinang,
Sekolah Tinggi Ilmu Kesehatan Tuanku Tambusai,
Universitas Pahlawan Tuanku Tambusai,
Akademi Kebidanan Petro Mandau Husada,
AMIK Mitra Gama,
Sekolah Tinggi Teknik Nusantara Mandiri,
Sekolah Tinggi Teknologi Duri,
STAI Al-Kautsar,
STAI Hubbulwathan Duri,
STAIN Bengkalis,
Sekolah Tinggi Ilmu Ekonomi Harapan Duri,
Politeknik Negeri Bengkalis,
Sekolah Tinggi Ilmu Ekonomi Syariah Bengkalis,
Akademi Kebidanan Indragiri,
Akademi Kesehatan Provinsi Riau,
Sekolah Tinggi Ilmu Kesehatan Har-Kausyar,
STAI Madinatun Najah,
STAI Nurul Falah Airmolek,
STKIP Insan Madani Airmolek,
Sekolah Tinggi Ilmu Ekonomi Indragiri Rengat,
Sekolah Tinggi Ilmu Hukum Riau,
Sekolah Tinggi Teknologi Indragiri,
STIA Indragiri,
Akademi Kebidanan Husada Gemilang,
Sekolah Tinggi Ilmu Kesehatan Husada Gemilang,
STAI Auliaurrasyidin,
STMIK Indragiri,
Institut Agama Islam Ar-Risalah Inhil Riau,
Sekolah Tinggi Ilmu Tarbiyyah Ar - Risalah Inhil Riau,
Universitas Islam Indragiri,
Institut Teknologi Perkebunan Pelalawan Indonesia,
Akademi Kebidanan Payung Pelalawan,
Institut Agama Islam Pelalawan Riau,
Sekolah Tinggi Teknologi Pelalawan,
Akademi Kebidanan Tuti Rahayu,
Akademi Kebidanan Umi Bagan Batu,
Institut Agama Islam Dar Aswaja Rokan Hilir,
STAI Ar-Ridho Bagansiapiapi,
STAI Rokan,
STIT Dar Aswaja Rokan Hilir,
Akademi Kebidanan Salma,
Institut Agama Islam Edi Haryono Madani,
Sekolah Tinggi Agama Islam Sulthan Syarif Hasyim Siak Sri Indrapura Riau,
Sekolah Tinggi Ilmu Pertanian Swarna Dwipa,
Sekolah Tinggi Teknologi Unggulan Swarna Dwipa,
Universitas Islam Kuantan Singingi,
Institut Sains Al-Qur'an Syekh Ibrahim Pasir Pangaraian Rokan Hulu,
STAI Tuanku Tambusai,
STKIP Rokania,
Universitas Pasir Pengaraian,
AMIK Selat Panjang,
Sekolah Tinggi Keguruan dan Ilmu Pendidikan Meranti,
STAI Nurul Hidayah,
Akademi Analis Kesehatan Pekanbaru,
Akademi Bahasa Asing Persada Bunda,
Akademi Kebidanan Dharma Husada Pekanbaru,
Akademi Kebidanan Helvetia Pekanbaru,
Akademi Kebidanan Internasional Pekanbaru,
Akademi Kebidanan Laksamana,
Akademi Kebidanan Satu Enam Lima,
Akademi Kebidanan Sempena Negeri Pekanbaru,
Akademi Keperawatan Dharma Husada Pekanbaru,
Akademi Kesehatan John Paul II Pekanbaru,
Akademi Kesenian Melayu Riau,
Akademi Keuangan Dan Perbankan Riau,
Akademi Pariwisata Engku Putri Hamidah,
Akademi Sekretari Dan Manajemen Persada Bunda,
AMIK Mahaputra Riau,
Institut Bisnis Dan Teknologi Pelita Indonesia,
Institut Teknologi dan Bisnis Master,
Politeknik Caltex,
Poltekkes Kemenkes Riau,
Sekolah Tinggi Agama Islam Al-Mujtahadah Pekanbaru,
Sekolah Tinggi Bahasa Asing Persada Bunda,
Sekolah Tinggi Ilmu Ekonomi Pelita Indonesia,
Sekolah Tinggi Ilmu Ekonomi Persada Bunda,
Sekolah Tinggi Ilmu Ekonomi Purna Graha,
Sekolah Tinggi Ilmu Ekonomi Riau,
Sekolah Tinggi Ilmu Ekonomi Syariah Imam Asy Syafii Pekanbaru Riau,
Sekolah Tinggi Ilmu Farmasi Riau,
Sekolah Tinggi Ilmu Hukum Persada Bunda,
Sekolah Tinggi Ilmu Kesehatan Hang Tuah,
Sekolah Tinggi Ilmu Kesehatan Payung Negeri,
Sekolah Tinggi Ilmu Komputer Pelita Indonesia,
Sekolah Tinggi Ilmu Tarbiyah Al-Kifayah Riau,
Sekolah Tinggi Pariwisata Riau,
Sekolah Tinggi Teknologi Pekanbaru,
Sekolah Tinggi Teologi Periago Pekanbaru,
STAI Al-Azhar Pekanbaru,
STAI Diniyah Pekanbaru,
STAI H.M. Lukman Edy Pekanbaru,
STEI Iqra Annisa Pekanbaru,
Sekolah Tinggi Ilmu Ekonomi Mahaputra Riau,
Sekolah Tinggi Ilmu Ekonomi Prakarti Mulya,
Sekolah Tinggi Ilmu Kesehatan Al-Insyirah Pekanbaru,
Sekolah Tinggi Ilmu Kesehatan Awal Bros Pekanbaru,
Sekolah Tinggi Ilmu Kesehatan Pekanbaru Medical Center,
Sekolah Tinggi Ilmu Kesehatan Tengku Maharatu,
STISIP Persada Bunda,
STMIK Amik Riau,
STMIK Dharmapala Riau,
Universitas Islam Negeri Sultan Syarif Kasim Riau,
Universitas Lancang Kuning,
Universitas Muhammadiyah Riau,
Universitas Riau,
STMIK Hang Tuah Pekanbaru,
Sekolah Tinggi Ilmu Ekonomi Dharma Putra Pekanbaru,
AMIK Tri Dharma Pekanbaru,
Akademi Kebidanan Bunda Serumpun,
Institut Agama Islam Lukman Edy,
Sekolah Tinggi Teologi  ARASTAMAR RIAU,
Universitas Islam Riau,
Sekolah Tinggi Agama Buddha Maitreyawira,
STKIP Aisyiyah Riau,
Universitas Abdurrab,
Akademi Kebidanan Hang Jebat,
Akademi Keperawatan Sri Bunga Tanjung,
Akademi Manajemen Informatika Dan Komputer Dumai,
Institut Agama Islam Tafaqquh Fiddin Dumai,
Politeknik Kelautan dan Perikanan Dumai,
Sekolah Tinggi Ilmu Administrasi Lancang Kuning,
Sekolah Tinggi Ilmu Ekonomi Tuah Negeri,
Sekolah Tinggi Teknologi Dumai,
STAI Tafaqquhfiddin Dumai,
STMIK Dumai,
Akademi Akuntansi Riau,
Akademi Bahasa Asing Nurdin Hamzah,
Akademi Keperawatan YPSBR Muara Bulian,
Akademi Sekretari Dan Manajemen Jambi,
Akademi Telekomunikasi Indonesia Jambi,
"STAI Muara Bulian Batanghari, Jambi",
Sekolah Tinggi Ilmu Ekonomi Graha Karya Muara Bulian,
STIP Graha Karya,
STIT Al Falah,
Institut Agama Islam Nusantara Batang Hari,
Akademi Kebidanan Amanah Muara Bungo,
Sekolah Tinggi Agama Islam YASNI Muara Bungo,
Sekolah Tinggi Ilmu Administrasi Setih Setio,
STIT YAPIMA Muara Bungo,
Institut Agama Islam Yasni Bungo,
Akademi Keperawatan Setih Setio,
STKIP Muhammadiyah Muara Bungo,
Universitas Muara Bungo,
Institut Teknologi dan Bisnis Muhammadiyah Sarolangun,
Sekolah Tinggi Agama Islam Darul Ulum Sarolangun,
STAI Ma`arif Sarolangun,
"STIT Darul Ulum, Sarolangun, Jambi",
STAI Al-Anwar Kuala Tungkal Jambi,
"STAI An-Nadwah Kuala Tungkal, Jambi",
STAI Mau`izhah Tanjung Jabung Barat,
Akademi Teknik Adi Karya,
AMIK Depati Parbo Kerinci,
Institut Agama Islam Negeri Kerinci,
STAIN Kerinci,
STIT YPI Kerinci,
Akademi Akuntansi Dan Manajemen Pembangunan,
"STIT Al-Falah Rimbo Bujang, Tebo, Jambi",
STIT Kabupaten Tebo,
Institut Agama Islam Tebo,
Universitas Jambi,
Sekolah Tinggi Ilmu Ekonomi Syari`ah Al-Mujaddid,
Institut Agama Islam Syekh Maulana Qori Bangko,
"Sekolah Tinggi Agama Islam Syekh Maulana Qori Bangko, Jambi",SMQ
Akademi Kebidanan Merangin,
Sekolah Tinggi Ilmu Hukum YPM,
Sekolah Tinggi Ilmu Kesehatan Merangin,
Sekolah Tinggi Ilmu Ekonomi YA Bangko,
STKIP YPM Bangko,
Sekolah Tinggi Ilmu Kesehatan Keluarga Bunda Jambi,
Akademi Akuntansi dan Komputer Stephen Jambi,
Akademi Analis Kesehatan Provinsi Jambi,
Akademi Farmasi Propinsi Jambi,
Akademi Kebidanan Baiturrahim Jambi,
Akademi Kebidanan Budi Mulia,
Akademi Kebidanan Jakarta Mitra Sejahtera,
Akademi Kebidanan Keluarga Bunda Jambi,
Akademi Keperawatan Jambi,
Akademi Manajemen Koperasi Graha Karya,
IAIN Sultan Thaha Saifuddin Jambi,
Institut Agama Islam Muhammad Azim Jambi,
Institut Teknologi dan Bisnis Pelita Raya,
Institut Teknologi dan Sains Nahdlatul Ulama Jambi,
Politeknik Jambi,
Poltekkes Kemenkes Jambi,
Sekolah Tinggi Agama Islam Mambaul Ulum Jambi,
Sekolah Tinggi Ilmu Kesehatan Baiturrahim,
Sekolah Tinggi Ilmu Kesehatan Garuda Putih,
Sekolah Tinggi Ilmu Komputer Dinamika Bangsa,
Sekolah Tinggi Ilmu Tarbiyah Mamba'ul Ulum Jambi,
Sekolah Tinggi Teknologi Nasional,
STAI Ahsanta Jambi,
STAI Ma`arif Jambi,
STISIP Nurdin Hamzah,
"Sekolah Tinggi Ilmu Tarbiyah Al-Azhar Diniyyah Muaro Bungo, Jambi",
STMIK Nurdin Hamzah,
Universitas Dinamika Bangsa,
Universitas Islam Negeri Sulthan Thaha Saifuddin Jambi,
Universitas Muhammadiyah Jambi,
Sekolah Tinggi Ilmu Kesehatan Harapan Ibu Jambi,
Sekolah Tinggi Ilmu Kesehatan Prima,
Universitas Adiwangsa Jambi,
Sekolah Tinggi Ilmu Ekonomi Jambi,
Sekolah Tinggi Ilmu Ekonomi Muhammadiyah Jambi,
STKIP Al Azhar Diniyyah Jambi,
Universitas Batanghari Jambi,
Universitas Nurdin Hamzah,
Akademi Kebidanan Prima Jambi,
Akademi Keperawatan Garuda Putih Jambi,
Akademi Keperawatan Prima Jambi,
Institut Islam Mamba'ul Ulum Jambi,
